api,operator,year,month,oil_bbl,gas_mcf,water_bbl,days_produced
42423000010002,ConocoPhillips Company,2023,1,3215,4407,5130,30
42423000010002,ConocoPhillips Company,2023,2,2286,3268,3023,30
42423000010002,ConocoPhillips Company,2023,3,1419,2312,2934,30
42423000010002,ConocoPhillips Company,2023,4,558,718,531,30
42423000010002,ConocoPhillips Company,2023,5,178,156,199,30
42423000010002,ConocoPhillips Company,2023,6,51,26,75,30
42423000010002,ConocoPhillips Company,2023,7,9,17,6,30
42423000010002,ConocoPhillips Company,2023,8,1,1,0,30
42423000010002,ConocoPhillips Company,2023,9,0,0,0,0
42423000010002,ConocoPhillips Company,2023,10,0,0,0,0
42423000010002,ConocoPhillips Company,2023,11,0,0,0,0
42423000010002,ConocoPhillips Company,2023,12,0,0,0,0
42423000020002,Occidental Petroleum Corporation,2023,8,6110,9598,13660,30
42423000020002,Occidental Petroleum Corporation,2023,9,4785,3258,3294,30
42423000020002,Occidental Petroleum Corporation,2023,10,2666,4774,5012,30
42423000020002,Occidental Petroleum Corporation,2023,11,1109,2072,318,30
42423000020002,Occidental Petroleum Corporation,2023,12,440,790,613,30
42423000030001,Permian Resources Operating LLC,2023,1,3150,5210,2283,30
42423000030001,Permian Resources Operating LLC,2023,2,2685,4800,3317,30
42423000030001,Permian Resources Operating LLC,2023,3,1822,1541,2687,30
42423000030001,Permian Resources Operating LLC,2023,4,873,1609,2162,30
42423000030001,Permian Resources Operating LLC,2023,5,355,631,58,30
42423000030001,Permian Resources Operating LLC,2023,6,130,193,38,30
42423000030001,Permian Resources Operating LLC,2023,7,46,70,13,30
42423000030001,Permian Resources Operating LLC,2023,8,11,11,7,30
42423000030001,Permian Resources Operating LLC,2023,9,2,3,1,30
42423000030001,Permian Resources Operating LLC,2023,10,0,0,0,0
42423000030001,Permian Resources Operating LLC,2023,11,0,0,0,0
42423000030001,Permian Resources Operating LLC,2023,12,0,0,0,0
42423000040002,ConocoPhillips Company,2023,7,4111,7066,9625,30
42423000040002,ConocoPhillips Company,2023,8,3299,2688,6961,30
42423000040002,ConocoPhillips Company,2023,9,2399,3226,4675,30
42423000040002,ConocoPhillips Company,2023,10,1245,1228,2098,30
42423000040002,ConocoPhillips Company,2023,11,750,1489,1222,30
42423000040002,ConocoPhillips Company,2023,12,326,303,484,30
42423000050000,Independence Resources Management LLC,2023,1,3167,3455,7364,30
42423000050000,Independence Resources Management LLC,2023,2,2965,4207,3014,30
42423000050000,Independence Resources Management LLC,2023,3,2224,2548,5355,30
