api,well_name,operator,county,field,latitude,longitude,depth_ft,completion_date,status,well_type,well_id
42423000010002,Brown 76B,ConocoPhillips Company,Smith,East Texas,32.307503,-95.389988,11912,2022-02-02,Active,Oil,1
42423000020002,Jackson 293H,Occidental Petroleum Corporation,Smith,East Texas,32.369798,-95.259193,12359,2023-08-27,Active,Oil,2
42423000030001,Jones 98D,Permian Resources Operating LLC,Smith,East Texas,32.527642,-95.436136,10514,2022-04-15,Active,Oil,3
42423000040002,Hernandez 49B,ConocoPhillips Company,Smith,East Texas,32.407694,-95.362418,6291,2023-07-20,Active,Oil,4
42423000050000,Garcia 111H,Independence Resources Management LLC,Smith,East Texas,32.565636,-95.355346,8814,2022-04-14,Active,Oil,5
42423000060000,Rodriguez 78B,Parsley Energy Operations LLC,Smith,East Texas,32.490705,-95.354067,7803,2023-07-01,Active,Oil,6
42423000070002,Martinez 30A,Devon Energy Production Company LP,Smith,East Texas,32.438678,-95.392021,5525,2022-11-20,Active,Oil,7
42423000080002,Moore 833H,Pioneer Natural Resources USA Inc,Smith,East Texas,32.363295,-95.122836,12517,2022-05-27,Active,Oil,8
42423000090102,Taylor 292H,Chevron USA Inc,Smith,East Texas,32.523497,-95.284409,7266,2023-06-06,Active,Oil,9
42423000100102,Williams 493H,EOG Resources Inc,Smith,East Texas,32.558331,-95.438863,14763,2023-04-25,Active,Oil,10
42423000110002,Martinez 38B,Laredo Petroleum Inc,Smith,East Texas,32.558234,-95.495408,12123,2022-06-11,Active,Oil,11
42423000120002,Wilson 20D,Marathon Oil Company,Smith,East Texas,32.591566,-95.195215,11126,2022-06-15,Active,Oil,12
42423000130000,Anderson 311H,SM Energy Company,Smith,East Texas,32.575548,-95.260422,5949,2022-09-04,Active,Oil,13
42423000140000,Moore 34C,Pioneer Natural Resources USA Inc,Smith,East Texas,32.325696,-95.305604,13645,2023-09-14,Active,Oil,14
42423000150001,Anderson 674H,Occidental Petroleum Corporation,Smith,East Texas,32.578674,-95.197894,12397,2022-05-04,Active,Oil,15
42423000160000,Williams 30A,Pioneer Natural Resources USA Inc,Smith,East Texas,32.401426,-95.264677,6104,2022-02-02,Active,Oil,16
42423000170002,Jones 324H,Pioneer Natural Resources USA Inc,Smith,East Texas,32.454247,-95.388609,12749,2023-02-21,Active,Oil,17
42423000180102,Johnson 8B,ConocoPhillips Company,Smith,East Texas,32.497695,-95.358281,11596,2022-12-14,Shut-in,Oil,18
42423000190001,Miller 601H,ConocoPhillips Company,Smith,East Texas,32.374597,-95.423916,9092,2022-03-19,Active,Oil,19
42423000200000,Garcia 53C,Laredo Petroleum Inc,Smith,East Texas,32.329373,-95.239142,12956,2023-05-08,Active,Oil,20
42423000210101,Hernandez 551H,Centennial Resource Production LLC,Smith,East Texas,32.570733,-95.434145,14105,2023-11-09,Active,Oil,21
42423000220002,Martinez 7A,Diamondback E&P LLC,Smith,East Texas,32.356969,-95.41292,14571,2023-05-04,Active,Oil,22
42423000230000,White 87B,SM Energy Company,Smith,East Texas,32.34723,-95.115688,8853,2023-02-18,Active,Oil,23
42423000240001,Thompson 342H,Matador Production Company,Smith,East Texas,32.373865,-95.262192,8346,2023-11-17,Active,Oil,24
42423000250101,Williams 59A,Chevron USA Inc,Smith,East Texas,32.379684,-95.447649,14224,2022-04-13,Active,Oil,25
42423000260000,Anderson 211H,Occidental Petroleum Corporation,Smith,East Texas,32.451765,-95.447017,12179,2023-07-11,Active,Oil,26
42423000270002,Jackson 851H,Independence Resources Management LLC,Smith,East Texas,32.595156,-95.17716,6697,2022-05-18,Active,Oil,27
42423000280002,Martinez 88D,ConocoPhillips Company,Smith,East Texas,32.522725,-95.437821,9325,2023-06-02,Active,Oil,28
42423000290000,Martinez 82C,EOG Resources Inc,Smith,East Texas,32.32769,-95.33057,9291,2022-06-15,Active,Oil,29
42423000300002,Jones 48A,Laredo Petroleum Inc,Smith,East Texas,32.5117,-95.275637,14543,2023-07-20,Active,Oil,30
42423000310000,Garcia 46B,Diamondback E&P LLC,Smith,East Texas,32.312549,-95.354139,14173,2023-02-21,Active,Oil,31
42423000320001,Smith 95C,Diamondback E&P LLC,Smith,East Texas,32.577729,-95.405305,10442,2023-02-26,Shut-in,Oil,32
42423000330100,Moore 26D,Chevron USA Inc,Smith,East Texas,32.380042,-95.18505,12541,2022-12-25,Active,Oil,33
42423000340001,Williams 451H,Chevron USA Inc,Smith,East Texas,32.366877,-95.235987,13346,2023-02-14,Active,Oil,34
42423000350002,Rodriguez 14A,Laredo Petroleum Inc,Smith,East Texas,32.399345,-95.48896,14774,2023-03-21,Active,Oil,35
42423000360102,Davis 61H,Callon Petroleum Operating Company,Smith,East Texas,32.430918,-95.106306,12144,2022-01-02,Active,Oil,36
42423000370001,Williams 802H,Laredo Petroleum Inc,Smith,East Texas,32.506057,-95.123895,10143,2023-11-11,Active,Oil,37
42423000380102,Wilson 25C,Apache Corporation,Smith,East Texas,32.452137,-95.233243,11888,2023-11-12,Active,Oil,38
42423000390001,Wilson 56D,Devon Energy Production Company LP,Smith,East Texas,32.484654,-95.37962,14502,2023-09-14,Active,Oil,39
42423000400102,Miller 37B,Parsley Energy Operations LLC,Smith,East Texas,32.432536,-95.229749,13445,2023-11-11,Active,Oil,40
42423000410000,Davis 4C,Callon Petroleum Operating Company,Smith,East Texas,32.328016,-95.1192,5757,2022-09-08,Active,Oil,41
42423000420002,Taylor 524H,Independence Resources Management LLC,Smith,East Texas,32.554921,-95.470869,8997,2022-06-01,Active,Oil,42
42423000430100,Miller 74H,Permian Resources Operating LLC,Smith,East Texas,32.567798,-95.155824,14132,2022-09-13,Active,Oil,43
42423000440001,White 713H,ConocoPhillips Company,Smith,East Texas,32.436939,-95.179433,12305,2022-06-12,Active,Oil,44
42423000450102,Garcia 571H,Cimarex Energy Company,Smith,East Texas,32.435021,-95.199289,6269,2024-01-01,Active,Oil,45
42423000460000,Garcia 893H,Marathon Oil Company,Smith,East Texas,32.400754,-95.142789,7503,2023-12-25,Active,Oil,46
42423000470000,Thomas 993H,Concho Resources Inc,Smith,East Texas,32.42228,-95.282956,14569,2023-12-14,Active,Oil,47
42423000480001,Thomas 63D,Matador Production Company,Smith,East Texas,32.414114,-95.497642,8595,2022-10-07,Active,Oil,48
42423000490001,Jones 51A,Permian Resources Operating LLC,Smith,East Texas,32.416657,-95.232451,14697,2023-08-01,Active,Oil,49
42423000500000,Rodriguez 423H,Pioneer Natural Resources USA Inc,Smith,East Texas,32.492825,-95.44572,8467,2023-04-11,Active,Oil,50
42423000510000,Moore 96A,Centennial Resource Production LLC,Smith,East Texas,32.383477,-95.119518,13837,2022-02-23,Active,Oil,51
42423000520000,Davis 80A,Endeavor Energy Resources LP,Smith,East Texas,32.367267,-95.472553,7496,2022-09-02,Active,Oil,52
42423000530000,White 21B,ConocoPhillips Company,Smith,East Texas,32.469191,-95.412814,10096,2022-04-21,Active,Oil,53
42423000540102,Davis 76B,Apache Corporation,Smith,East Texas,32.472739,-95.13679,8978,2022-04-15,Active,Oil,54
42423000550001,Jackson 853H,Apache Corporation,Smith,East Texas,32.555088,-95.259835,11071,2022-03-12,Active,Oil,55
42423000560001,Anderson 914H,Callon Petroleum Operating Company,Smith,East Texas,32.303796,-95.331977,7506,2023-03-22,Active,Oil,56
42423000570101,Thomas 421H,SM Energy Company,Smith,East Texas,32.589642,-95.391967,9022,2022-03-30,Active,Oil,57
42423000580101,Smith 424H,Parsley Energy Operations LLC,Smith,East Texas,32.373159,-95.314117,7979,2023-05-15,Active,Oil,58
42423000590002,Davis 31B,Marathon Oil Company,Smith,East Texas,32.402102,-95.147872,11658,2023-05-16,Active,Oil,59
42423000600100,Williams 291H,Chevron USA Inc,Smith,East Texas,32.507183,-95.241639,11625,2023-12-10,Active,Oil,60
42423000610102,Jackson 462H,Matador Production Company,Smith,East Texas,32.410706,-95.278611,12434,2022-10-05,Active,Oil,61
42423000620000,Davis 364H,Chevron USA Inc,Smith,East Texas,32.336197,-95.422966,14659,2023-06-22,Active,Oil,62
42423000630001,Smith 36C,ConocoPhillips Company,Smith,East Texas,32.549789,-95.381501,5745,2022-02-25,Active,Oil,63
42423000640002,Wilson 624H,Diamondback E&P LLC,Smith,East Texas,32.491361,-95.198883,12216,2022-12-15,Active,Oil,64
42423000650001,Moore 74B,EOG Resources Inc,Smith,East Texas,32.375744,-95.155311,5878,2022-06-05,Active,Oil,65
42423000660002,Thomas 67D,Matador Production Company,Smith,East Texas,32.584738,-95.465928,11232,2023-04-07,Active,Oil,66
42423000670002,Brown 81D,Apache Corporation,Smith,East Texas,32.55805,-95.103987,8457,2022-09-28,Active,Oil,67
42423000680001,Hernandez 384H,Devon Energy Production Company LP,Smith,East Texas,32.37196,-95.279203,5534,2022-08-26,Active,Oil,68
42423000690002,Thompson 55D,Apache Corporation,Smith,East Texas,32.510896,-95.318387,6880,2023-07-12,Active,Oil,69
